rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
795887,-0.02,-0.04,1.06,0.49,2.26,1.77,113.43,43.96,-95.27
795897,-0.03,-0.02,1.09,-4.39,4.27,-0.67,113.88,43.36,-95.72
795907,-0.03,0.02,1.1,-6.71,4.76,-1.77,114.48,43.21,-94.22
795917,-0.04,0.02,1.1,-7.01,3.23,-1.4,115.08,44.26,-94.67
795927,-0.03,0.03,1.14,-4.39,2.87,-1.28,114.93,43.36,-95.42
795937,-0.03,0.02,1.11,-0.49,0.67,-0.55,115.83,44.26,-96.32
795947,-0.02,0,1.08,0.18,0.18,0,113.43,43.96,-95.27
795956,-0.03,0,1.07,0.3,1.34,-0.3,114.18,43.81,-93.47
795967,-0.02,-0.02,1.1,1.16,3.05,-0.12,112.98,44.26,-94.22
795976,-0.02,0.01,1.11,0,2.56,-0.49,113.88,45.91,-94.82
795987,-0.02,0.01,1.15,0.61,2.44,-1.04,115.23,44.11,-95.12
795997,-0.02,0.02,1.1,1.71,1.16,-0.91,114.93,44.11,-94.07
796007,-0.02,0,1.14,-0.43,1.16,-0.73,114.03,45.31,-95.27
796017,-0.02,-0.02,1.14,-2.38,0.85,-1.34,114.93,44.41,-94.07
796027,-0.03,0.01,1.12,-5.43,-0.85,-2.32,115.08,44.71,-94.22
796037,-0.02,0,1.12,-2.93,-2.07,-2.07,114.48,44.26,-93.92
796047,-0.01,0,1.1,-1.1,-2.38,-1.22,116.58,44.26,-93.32
796057,-0.01,0,1.13,0.49,-2.07,-1.16,114.03,44.26,-94.97
796067,-0.02,0,1.08,3.35,-3.23,-0.43,114.18,43.36,-94.07
796077,-0.02,-0.02,1.05,4.51,-2.74,-1.4,114.63,44.86,-94.37
796087,-0.01,0,1.06,3.41,-0.73,-2.5,114.48,42.61,-94.67
796097,-0.01,0,1.07,-2.87,0.85,-2.99,116.88,44.26,-94.22
796106,-0.01,0.01,1.11,-5.98,1.95,-3.84,114.63,43.36,-94.82
796117,-0.02,0.02,1.09,-8.48,1.22,-3.72,114.93,43.06,-93.47
796126,-0.02,0.05,1.09,-6.34,0.79,-3.6,114.48,44.26,-94.67
796137,-0.03,0.05,1.11,-3.17,-0.24,-1.22,115.23,43.36,-94.07
796146,-0.02,0.04,1.11,0.98,-1.04,0.49,115.23,44.11,-94.82
796157,-0.02,0,1.1,4.76,-2.32,1.77,112.68,42.91,-95.27
796166,-0.02,-0.04,1.04,7.01,-2.56,1.52,113.73,43.96,-94.67
796177,-0.02,-0.01,1.05,-1.83,0.79,-1.22,114.78,45.31,-94.97
796186,-0.02,0.02,1.1,-6.95,2.8,-2.07,113.73,44.71,-93.92
796197,-0.02,0.04,1.12,-6.16,1.28,-1.71,113.88,44.41,-94.07
796206,-0.03,0.01,1.09,-1.52,-0.85,-0.55,113.43,43.96,-94.22
796217,-0.01,-0.02,1.05,1.71,-1.22,-0.55,116.13,43.96,-94.22
796226,-0.02,-0.02,1.06,1.16,0.79,-1.34,114.93,43.81,-93.02
796237,-0.02,0.01,1.06,-2.5,1.89,-1.4,115.08,44.71,-94.22
796246,-0.01,0.02,1.11,-1.95,3.41,-1.59,114.48,44.71,-93.62
796257,-0.02,0.03,1.08,0.67,1.52,-1.22,114.18,45.46,-94.37
796266,-0.02,0.03,1.09,2.07,1.71,-0.91,115.53,44.71,-94.37
