rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
1055251,0.04,0.04,1.1,-0.06,-0.61,-0.18,114.03,40.81,-92.57
1055261,0.04,0.03,1.09,-0.61,-0.67,0.12,115.23,39.91,-91.67
1055271,0.04,0.03,1.09,-0.67,-0.06,0.06,114.93,39.61,-92.72
1055281,0.03,0.01,1.08,-1.59,-0.18,0.06,114.63,39.16,-92.12
1055291,0.04,0.03,1.09,0.37,0.12,-0.85,116.28,40.66,-92.72
1055301,0.06,0.05,1.1,0.61,-0.06,-1.16,115.68,39.61,-93.47
1055311,0.05,0.04,1.1,-0.06,-0.98,-0.73,115.08,39.76,-92.87
1055321,0.06,0.02,1.1,-0.12,-1.59,0.12,114.48,39.46,-91.97
1055331,0.04,0.02,1.09,0.37,-1.95,0.37,113.73,39.76,-93.62
1055341,0.04,0.02,1.06,0.49,-1.28,0.18,115.53,38.71,-93.62
1055351,0.05,0.02,1.1,1.22,0.18,-0.61,115.23,39.61,-91.67
1055361,0.07,0.05,1.08,1.46,-0.18,-1.4,116.13,40.81,-92.87
1055371,0.06,0.06,1.1,1.77,0.3,-0.85,115.53,39.76,-91.97
1055381,0.05,0.07,1.09,1.1,0.79,-0.06,114.63,40.66,-92.42
1055391,0.04,0.04,1.08,-0.12,1.1,0.55,115.83,39.46,-92.57
1055401,0.04,0.04,1.09,0.37,1.28,0.24,114.03,40.81,-92.57
1055411,0.03,0.04,1.08,-0.85,0.67,0.49,115.98,40.66,-92.42
1055421,0.04,0.04,1.09,-1.46,0.79,0.67,115.08,40.06,-92.87
1055431,0.04,0.02,1.11,-0.91,1.22,0.79,117.18,40.81,-91.97
1055441,0.04,0.02,1.1,-0.98,0.55,0.43,115.53,39.76,-92.87
1055451,0.04,0.01,1.1,-0.37,-0.18,-0.24,115.68,40.21,-92.72
1055461,0.04,0.03,1.09,0.91,-0.49,-1.28,114.78,40.51,-93.32
1055471,0.05,0.03,1.09,1.16,-0.67,-1.83,114.93,39.91,-92.72
1055481,0.06,0.02,1.09,0.73,-1.16,-1.46,114.93,39.16,-93.02
1055491,0.05,0.04,1.1,0.98,-0.85,-1.59,114.63,39.61,-92.42
1055501,0.05,0.05,1.05,1.04,-1.28,-1.52,115.68,39.91,-92.72
1055511,0.06,0.05,1.09,2.07,-0.43,-0.85,116.13,40.06,-92.57
1055521,0.05,0.05,1.13,1.89,0,-0.55,114.78,39.76,-91.97
1055531,0.04,0.03,1.08,0.49,-1.22,0.37,114.93,39.91,-93.47
1055541,0.05,0.03,1.08,0.12,-0.61,0.18,115.23,39.91,-92.42
1055551,0.05,0.03,1.08,1.04,0.55,0.3,114.93,40.21,-93.02
1055561,0.05,0.04,1.08,0.06,0.73,0.43,114.93,40.21,-93.02
1055571,0.03,0.04,1.08,0,-0.49,0.79,114.48,40.51,-92.87
1055581,0.04,0.04,1.1,0.12,-0.49,0.24,115.83,39.76,-92.57
1055591,0.04,0.04,1.1,-1.16,-1.04,-0.3,113.88,40.96,-92.72
1055601,0.05,0.05,1.08,-0.43,-0.98,-0.43,115.08,39.01,-92.87
1055611,0.05,0.05,1.07,0.12,-0.98,-0.18,115.23,39.61,-93.02
1055621,0.06,0.04,1.08,0.85,-0.24,0.3,114.03,38.71,-92.27
1055631,0.05,0.05,1.09,1.1,1.04,0.61,114.03,38.41,-91.97
1055641,0.05,0.04,1.08,0.37,0.79,0.67,115.08,38.71,-92.87
1055651,0.04,0.03,1.08,0.98,0.73,0.49,114.78,40.06,-92.57
1055661,0.04,0.01,1.1,1.28,1.22,0.55,114.93,39.61,-93.47
1055671,0.06,0.03,1.08,1.46,-0.24,0.12,115.68,40.21,-93.02
1055681,0.04,0.03,1.08,0,0.85,-0.18,114.18,39.91,-92.12
1055691,0.05,0.03,1.1,-1.4,0.67,-0.12,115.83,40.51,-93.32
1055701,0.04,0.03,1.12,-1.59,0.06,-0.24,113.28,39.91,-92.72
1055711,0.04,0.04,1.08,-1.46,-1.1,-0.67,114.63,37.81,-93.47
1055721,0.04,0.04,1.09,-0.61,-1.16,-0.91,114.63,39.16,-94.07
1055731,0.04,0.03,1.1,0.55,-0.37,-0.98,115.53,40.51,-93.32
1055741,0.05,0.02,1.11,0.37,-0.49,-0.61,115.68,38.86,-93.02
1055751,0.05,0.02,1.08,0.91,-1.65,-0.55,115.98,39.91,-92.12
1055761,0.05,0.03,1.09,2.07,-1.16,-0.73,114.03,37.96,-94.22
1055771,0.05,0.02,1.1,2.68,-0.24,-0.79,113.73,41.11,-92.87
1055781,0.04,0.04,1.08,1.95,-0.61,-1.46,114.48,39.46,-93.62
1055791,0.04,0.03,1.09,0.67,-0.61,-1.28,115.08,39.46,-93.32
1055801,0.06,0.06,1.07,1.46,0,-1.83,115.23,40.21,-94.07
1055811,0.06,0.06,1.08,0.67,0.43,-0.24,115.08,41.86,-93.62
1055821,0.05,0.06,1.08,0.98,0.18,0.55,115.23,40.21,-92.72
1055831,0.04,0.05,1.09,1.22,0.06,0.85,116.58,39.76,-93.32
1055841,0.04,0.03,1.08,1.22,-0.3,0.91,114.48,39.76,-93.32
1055851,0.04,0.03,1.1,0.49,-0.3,1.04,116.13,38.71,-93.62
1055861,0.04,0.03,1.09,-0.37,-0.73,0.91,114.78,37.96,-93.62
1055871,0.04,0.03,1.07,-1.83,-0.73,0.43,114.48,39.46,-93.62
1055881,0.06,0.04,1.08,-1.22,0.49,-0.18,113.58,39.61,-92.12
1055891,0.06,0.05,1.1,-0.67,0.73,0.06,115.23,41.26,-92.42
