rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
500840,-0.04,0.1,1.07,3.23,-3.48,5.73,111.48,44.41,-93.02
500849,-0.03,0.01,1.11,8.41,0.55,6.83,112.98,43.21,-94.67
500860,-0.05,0.02,1.15,2.68,2.2,3.9,111.78,44.41,-94.37
500869,-0.04,0.04,1.17,-2.07,1.46,1.34,110.43,44.86,-94.82
500880,-0.04,0.06,1.19,-1.65,0.73,0.61,111.18,45.46,-93.02
500889,-0.06,0.06,1.18,-0.73,-3.17,1.28,111.18,43.81,-94.82
500900,-0.03,0.01,1.11,0.98,-8.05,1.46,110.73,43.36,-94.07
500909,-0.02,0.03,1.08,-1.95,-9.45,-0.91,111.03,44.26,-91.22
500920,-0.02,0.03,1.07,-4.21,-7.62,-1.04,111.33,43.21,-93.92
500930,-0.01,0.01,1.04,-6.77,-7.44,-0.85,110.28,44.26,-94.67
500940,0,0.05,1.02,-6.59,-7.13,-3.05,110.28,44.26,-93.62
500949,0.02,0.06,1.02,-3.96,-6.04,-4.02,111.78,44.41,-93.77
500960,0.05,0.02,1.02,-4.09,-5.55,-2.68,111.18,43.36,-94.82
500969,0.02,0.02,1.04,-1.52,-3.54,-2.62,111.18,44.11,-95.12
500980,0.02,-0.02,1.05,0.55,-4.02,-3.72,111.63,43.21,-93.32
500990,0.02,0.05,1.04,-5.91,-4.63,-7.87,111.18,44.41,-94.07
501000,0.04,0.04,1.01,-5.91,-5,-7.01,111.33,43.66,-93.92
501010,0.02,0.04,1,-2.2,-3.23,-6.71,111.93,43.96,-93.62
501020,0.02,0.05,0.96,-7.93,-2.93,-7.62,110.73,43.06,-94.82
501030,0.02,0.06,0.99,-12.38,2.2,-7.5,112.38,43.96,-93.92
501040,0.01,0.07,1.07,-6.89,6.34,-5.85,110.43,43.81,-94.37
501050,0,0.08,1.12,-10.12,6.71,-4.7,111.63,43.96,-93.32
501060,-0.02,0.1,1.12,-7.44,5.12,-3.05,112.38,45.01,-94.22
501070,-0.01,0.06,1.12,-7.56,4.33,-0.85,112.38,44.71,-94.97
501080,-0.02,0.04,1.13,-1.95,5.12,-0.85,112.23,43.81,-93.77
501090,-0.02,0.08,1.13,0.24,5,-1.95,111.48,43.06,-92.12
501100,-0.01,0.07,1.18,1.59,5.91,-1.46,111.93,44.26,-94.67
501110,-0.01,0.07,1.22,0.79,4.76,-0.49,111.48,41.71,-93.77
501120,-0.02,0.06,1.2,-1.22,-0.43,-0.3,111.93,42.91,-93.62
501129,-0.01,0.07,1.16,-2.5,-2.93,-0.98,111.48,44.41,-94.37
501140,-0.01,0.1,1.13,-6.4,-3.41,-1.1,111.33,43.96,-94.22
501149,0,0.06,1.09,-5.61,-2.56,2.26,111.48,43.81,-94.07
