Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1614727205.059785,2631,1614727205,59328079,base_imu_link,-0.07685556321325054,0.004615044820868115,0.6958459472086859,0.714052057988577,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.05,0.25,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.177869140625,-0.722809453125,9.834728515624999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.0798082,2632,1614727205,79463243,base_imu_link,-0.07629865153695635,0.005695546096572628,0.6977668958494971,0.7122270955143878,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.05,0.31,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.0296299999999998,-1.01047765625,9.767695312499999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.0999272,2633,1614727205,99529981,base_imu_link,-0.07625566838033065,0.005179965116635238,0.699693009014907,0.710343532480535,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.04,0.31,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9817491406249998,-1.1349678906249998,9.719814453124998,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.1201944,2634,1614727205,119581222,base_imu_link,-0.07658125262964277,0.004193936012546709,0.7014313981463292,0.7085984168348696,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.02,-0.03,0.31,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.01047765625,-0.995921875,9.758119140624999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.141715,2635,1614727205,141289234,base_imu_link,-0.07628358052328355,0.004300297806175385,0.7032822891669911,0.7067929997710523,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.01,-0.02,0.32,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9721729687499999,-1.120412109375,9.810596562499999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.1619809,2636,1614727205,161572456,base_imu_link,-0.07598835631068016,0.003914600040595191,0.7051311574116423,0.7049826213879609,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.04,-0.02,0.28,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.8668350781249999,-1.388544921875,9.733987187499999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.1819763,2637,1614727205,181593656,base_imu_link,-0.07648515440475696,0.0023749580396417655,0.7056909421703113,0.704375379232387,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.05,-0.01,0.21,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9051397656249999,-1.259458125,9.7247940625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.2022123,2638,1614727205,201827764,base_imu_link,-0.07667275701928314,0.001356059186233445,0.706553289956977,0.7034926423819352,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.04,-0.01,0.2,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9530206249999998,-1.139564453125,9.729390624999999,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.2219734,2639,1614727205,221590518,base_imu_link,-0.07661255189376315,0.0011040345755918696,0.7071672495888721,0.7028824788745919,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.04,-0.01,0.18,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9530206249999998,-1.1682929687499999,9.76309875,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1614727205.2420027,2640,1614727205,241621971,base_imu_link,-0.07661331791656797,0.0007836648551748163,0.7078419870474556,0.7022033229485026,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.04,-0.01,0.16,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9530206249999998,-1.177869140625,9.75313953125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
